NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-30;Home;70 a 79;Si;1;25;4;1;0;4;1;0;0;1;0;1;13;3;1;0
CATALUNYA;GLOBAL;2021-09-30;Home;80 o més;No;8;365;68;1;0;37;0;0;8;0;7;0;330;58;5;13
CATALUNYA;GLOBAL;2021-09-30;Home;80 o més;Si;0;83;16;0;0;5;0;0;0;0;0;0;53;11;0;0
CATALUNYA;GLOBAL;2021-09-29;Altres;N/A;--;14;1531;5;4;1;58;15;0;9;5;9;0;1520;5;95;110
CATALUNYA;GLOBAL;2021-09-29;Dona;0 a 9;No;42;509;642;0;0;2;0;0;25;17;27;17;470;601;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;10 a 19;No;22;697;1177;0;0;1;0;0;14;8;14;8;606;991;618;2243
CATALUNYA;GLOBAL;2021-09-29;Dona;10 a 19;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;20 a 29;No;18;1671;765;0;0;4;0;0;11;7;9;10;1223;618;624;806
CATALUNYA;GLOBAL;2021-09-29;Dona;20 a 29;Si;0;7;0;0;0;1;0;0;0;0;0;0;5;0;1;0
CATALUNYA;GLOBAL;2021-09-29;Dona;30 a 39;No;30;2010;782;3;0;8;2;0;13;17;17;16;1549;667;472;833
CATALUNYA;GLOBAL;2021-09-29;Dona;30 a 39;Si;0;13;0;0;0;0;0;0;0;0;0;0;8;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;40 a 49;No;32;2596;746;1;0;16;7;0;15;17;16;15;1993;633;223;374
CATALUNYA;GLOBAL;2021-09-29;Dona;40 a 49;Si;0;12;4;0;0;1;0;0;0;0;0;0;10;4;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;50 a 59;No;16;2425;483;3;1;19;6;0;6;10;7;10;1847;430;86;140
CATALUNYA;GLOBAL;2021-09-29;Dona;50 a 59;Si;0;11;4;0;0;0;0;0;0;0;0;0;5;3;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;60 a 69;No;19;1098;357;2;0;36;12;0;7;12;7;14;906;321;53;109
CATALUNYA;GLOBAL;2021-09-29;Dona;60 a 69;Si;0;23;6;0;0;0;0;0;0;0;0;0;15;4;0;3
CATALUNYA;GLOBAL;2021-09-29;Dona;70 a 79;No;15;617;185;1;0;19;3;0;7;8;6;9;555;162;18;24
CATALUNYA;GLOBAL;2021-09-29;Dona;70 a 79;Si;0;55;5;0;0;1;0;0;0;0;0;0;34;3;0;4
CATALUNYA;GLOBAL;2021-09-29;Dona;80 o més;No;9;581;121;4;0;22;1;1;6;3;4;3;522;116;18;26
CATALUNYA;GLOBAL;2021-09-29;Dona;80 o més;Si;1;297;28;4;0;8;0;1;0;1;0;1;170;24;3;11
CATALUNYA;GLOBAL;2021-09-29;Home;0 a 9;No;24;552;714;1;0;0;0;0;18;6;18;6;504;655;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;0 a 9;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;10 a 19;No;26;637;1218;1;0;3;0;0;15;11;14;11;563;1026;689;2312
CATALUNYA;GLOBAL;2021-09-29;Home;10 a 19;Si;0;9;5;0;0;0;0;0;0;0;0;0;6;5;1;2
CATALUNYA;GLOBAL;2021-09-29;Home;20 a 29;No;5;668;571;0;0;3;1;0;1;4;2;5;519;484;802;955
CATALUNYA;GLOBAL;2021-09-29;Home;20 a 29;Si;0;6;2;0;0;0;0;0;0;0;0;0;5;2;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;30 a 39;No;20;686;511;0;0;12;6;0;7;13;12;16;567;435;473;823
